Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryBand,TenureBand,AgeBand
51,No,Travel_Frequently,332,Research & Development,9,3,Life Sciences,1,17,1,Female,69,2,2,Research Scientist,2,Married,7316,6221,4,Y,No,17,3,3,80,2,12,5,4,5,2,2,2,₹7K–₹12K,4–5 years,46–60
37,Yes,Travel_Frequently,982,Research & Development,11,3,Medical,1,18,2,Male,92,4,3,Research Director,3,Married,8531,10569,1,Y,No,23,3,2,80,3,9,5,2,0,0,0,0,₹7K–₹12K,<2 years,36–45
20,No,Travel_Rarely,879,Research & Development,29,5,Life Sciences,1,19,2,Female,49,3,4,Manufacturing Director,1,Single,8650,12301,2,Y,No,20,3,1,80,2,0,6,2,0,0,0,0,₹7K–₹12K,<2 years,18–25
44,No,Travel_Rarely,1439,Sales,13,3,Life Sciences,1,20,2,Female,61,2,4,Sales Representative,4,Single,9048,13806,1,Y,No,21,3,1,80,2,14,5,3,9,1,2,0,₹7K–₹12K,6–10 years,36–45
42,No,Travel_Rarely,339,Research & Development,13,3,Life Sciences,1,21,4,Female,85,3,2,Healthcare Representative,2,Married,6349,18115,3,Y,No,21,3,1,80,0,18,6,4,10,2,2,2,₹4K–₹7K,6–10 years,36–45
35,No,Travel_Rarely,1272,Human Resources,11,3,Medical,1,22,2,Male,43,3,4,Manager,4,Married,9718,4887,4,Y,No,25,3,4,80,2,5,2,1,0,0,0,0,₹7K–₹12K,<2 years,26–35
34,No,Travel_Rarely,1423,Research & Development,7,4,Medical,1,23,3,Male,60,3,1,Laboratory Technician,2,Married,5222,25647,0,Y,No,19,3,4,80,3,15,2,4,10,7,0,4,₹4K–₹7K,6–10 years,26–35
38,No,Travel_Frequently,1398,Research & Development,14,4,Life Sciences,1,24,2,Female,95,2,4,Manufacturing Director,1,Divorced,9841,25467,3,Y,No,24,3,4,80,3,16,6,2,16,12,6,7,₹7K–₹12K,10+ years,36–45
31,No,Travel_Rarely,1019,Research & Development,17,5,Life Sciences,1,25,3,Male,44,1,2,Healthcare Representative,2,Single,5887,16595,3,Y,No,14,3,4,80,0,17,5,1,9,0,3,0,₹4K–₹7K,6–10 years,26–35
39,No,Non-Travel,830,Research & Development,2,2,Marketing,1,26,1,Male,41,4,3,Manufacturing Director,2,Married,8791,16709,2,Y,Yes,21,4,1,80,2,24,2,2,17,14,5,10,₹7K–₹12K,10+ years,36–45
37,No,Travel_Rarely,1032,Research & Development,5,4,Medical,1,27,3,Male,97,4,2,Manufacturing Director,4,Single,5574,9284,2,Y,No,11,4,1,80,1,12,4,2,2,2,0,0,₹4K–₹7K,2–3 years,36–45
26,No,Non-Travel,147,Human Resources,7,5,Life Sciences,1,28,1,Female,62,3,3,Human Resources,2,Single,6178,17593,0,Y,No,15,3,4,80,2,0,3,4,0,0,0,0,₹4K–₹7K,<2 years,26–35
43,No,Travel_Rarely,398,Research & Development,14,2,Life Sciences,1,29,2,Male,62,4,2,Healthcare Representative,1,Married,7334,25381,3,Y,No,13,3,3,80,3,15,1,4,10,5,2,1,₹7K–₹12K,6–10 years,36–45
36,No,Travel_Rarely,1049,Research & Development,6,4,Life Sciences,1,30,1,Female,69,2,4,Manufacturing Director,2,Divorced,9321,17865,2,Y,No,14,3,4,80,1,3,0,2,0,0,0,0,₹7K–₹12K,<2 years,36–45
27,No,Travel_Rarely,1068,Research & Development,10,4,Life Sciences,1,31,4,Female,81,4,5,Research Scientist,1,Single,11680,3145,3,Y,No,12,3,3,80,2,8,3,4,8,4,4,1,₹7K–₹12K,6–10 years,26–35
43,No,Travel_Frequently,667,Sales,15,5,Technical Degree,1,32,2,Female,55,3,3,Manager,2,Divorced,10147,14108,4,Y,No,19,4,3,80,0,13,4,1,13,3,1,2,₹7K–₹12K,10+ years,36–45
20,No,Travel_Rarely,1212,Research & Development,5,4,Medical,1,33,3,Female,91,3,3,Healthcare Representative,2,Married,7081,25841,2,Y,No,23,4,4,80,0,6,0,1,3,2,1,0,₹7K–₹12K,2–3 years,18–25
47,No,Travel_Rarely,1398,Sales,11,4,Medical,1,34,3,Male,96,4,4,Sales Representative,4,Married,11791,18156,2,Y,No,21,3,2,80,2,21,3,1,7,5,3,1,₹7K–₹12K,6–10 years,46–60
35,No,Travel_Rarely,253,Research & Development,7,3,Medical,1,35,2,Male,61,1,2,Laboratory Technician,1,Married,5561,18166,1,Y,No,23,3,1,80,2,9,1,1,5,2,3,0,₹4K–₹7K,4–5 years,26–35
53,No,Travel_Rarely,1490,Research & Development,9,1,Life Sciences,1,36,3,Male,84,3,3,Research Director,4,Married,10638,17393,4,Y,No,12,3,4,80,1,20,2,3,14,9,4,3,₹7K–₹12K,10+ years,46–60
60,Yes,Travel_Rarely,995,Research & Development,15,3,Medical,1,37,3,Male,89,4,5,Manufacturing Director,2,Single,12201,16477,1,Y,Yes,22,3,3,80,0,25,6,2,17,11,7,7,₹12K+,10+ years,46–60
34,No,Travel_Rarely,887,Research & Development,12,3,Medical,1,38,3,Male,62,1,3,Research Scientist,2,Married,7536,26877,3,Y,No,19,3,1,80,3,11,1,4,10,4,0,4,₹7K–₹12K,6–10 years,26–35
39,No,Travel_Rarely,1414,Research & Development,7,2,Life Sciences,1,39,3,Male,73,1,5,Research Director,2,Divorced,13391,14253,0,Y,No,20,3,1,80,0,8,0,1,6,2,0,2,₹12K+,6–10 years,36–45
40,No,Non-Travel,393,Research & Development,13,5,Medical,1,40,3,Male,85,3,5,Manufacturing Director,1,Divorced,11207,19132,1,Y,No,19,3,1,80,1,9,0,3,6,1,3,1,₹7K–₹12K,6–10 years,36–45
47,No,Travel_Rarely,1092,Human Resources,8,4,Marketing,1,41,1,Male,77,1,4,Manager,4,Divorced,9619,11555,3,Y,No,22,3,1,80,3,13,2,1,8,3,4,1,₹7K–₹12K,6–10 years,46–60
28,No,Travel_Frequently,1361,Sales,18,1,Medical,1,42,4,Male,56,4,4,Manager,3,Married,9942,2451,4,Y,No,25,3,4,80,1,6,1,4,4,4,2,3,₹7K–₹12K,4–5 years,26–35
40,No,Travel_Rarely,1129,Sales,16,1,Other,1,43,1,Female,97,4,3,Manager,2,Married,9649,9233,1,Y,No,20,3,3,80,3,12,0,2,7,6,0,4,₹7K–₹12K,6–10 years,36–45
18,Yes,Travel_Rarely,1402,Sales,4,2,Technical Degree,1,44,1,Male,92,2,4,Sales Representative,2,Married,8300,2299,2,Y,Yes,19,3,1,80,2,0,1,3,0,0,0,0,₹7K–₹12K,<2 years,18–25
38,No,Travel_Rarely,219,Research & Development,3,5,Technical Degree,1,45,4,Male,90,3,2,Healthcare Representative,3,Single,6050,21066,2,Y,No,18,3,1,80,2,11,3,1,2,2,0,0,₹4K–₹7K,2–3 years,36–45
34,No,Travel_Rarely,1120,Sales,9,2,Life Sciences,1,46,3,Male,70,3,4,Manager,4,Single,10139,15688,2,Y,Yes,14,4,2,80,0,5,4,2,0,0,0,0,₹7K–₹12K,<2 years,26–35
49,No,Travel_Rarely,1294,Research & Development,12,3,Medical,1,47,3,Male,53,3,1,Laboratory Technician,3,Single,4282,5083,1,Y,No,20,3,1,80,0,14,6,2,7,7,0,2,₹4K–₹7K,6–10 years,46–60
51,Yes,Travel_Rarely,911,Sales,7,5,Medical,1,48,1,Male,41,1,2,Sales Executive,1,Married,9137,22269,2,Y,No,20,3,2,80,3,16,4,3,4,0,0,0,₹7K–₹12K,4–5 years,46–60
46,No,Travel_Rarely,856,Sales,11,4,Medical,1,49,4,Male,56,3,5,Sales Representative,4,Single,12642,6254,4,Y,No,11,4,2,80,0,18,3,4,14,9,2,7,₹12K+,10+ years,46–60
31,No,Non-Travel,1420,Research & Development,9,3,Medical,1,50,2,Female,97,1,2,Manufacturing Director,2,Married,3619,14782,5,Y,No,13,4,2,80,3,11,2,4,11,7,3,1,<₹4K,10+ years,26–35
40,No,Travel_Rarely,1350,Sales,3,5,Life Sciences,1,51,4,Male,52,4,5,Manager,3,Married,12645,12328,1,Y,No,24,4,2,80,0,11,2,4,8,3,2,3,₹12K+,6–10 years,36–45
55,No,Travel_Rarely,610,Sales,8,2,Technical Degree,1,52,1,Female,30,2,2,Sales Representative,4,Married,7305,9598,1,Y,No,17,3,1,80,0,24,2,4,16,10,1,6,₹7K–₹12K,10+ years,46–60
41,Yes,Travel_Frequently,871,Research & Development,7,2,Marketing,1,53,4,Male,72,2,4,Manufacturing Director,1,Divorced,10874,5111,3,Y,No,11,3,4,80,1,12,2,3,9,4,5,3,₹7K–₹12K,6–10 years,36–45
32,No,Travel_Rarely,829,Sales,5,3,Marketing,1,54,4,Male,59,4,3,Sales Executive,4,Married,8369,26436,0,Y,No,23,3,4,80,0,10,6,3,5,4,2,1,₹7K–₹12K,4–5 years,26–35
35,No,Travel_Rarely,1359,Research & Development,14,4,Marketing,1,55,1,Male,33,1,5,Research Director,3,Married,11784,26413,4,Y,Yes,13,4,4,80,2,12,5,1,8,1,6,0,₹7K–₹12K,6–10 years,26–35
53,No,Non-Travel,830,Research & Development,3,1,Human Resources,1,56,3,Male,65,2,3,Laboratory Technician,4,Single,8626,21580,1,Y,No,15,3,1,80,2,18,5,1,9,1,2,1,₹7K–₹12K,6–10 years,46–60
32,Yes,Travel_Frequently,364,Research & Development,13,5,Medical,1,57,4,Male,56,1,2,Laboratory Technician,1,Divorced,5875,25779,3,Y,No,16,4,1,80,1,11,3,1,5,3,0,3,₹4K–₹7K,4–5 years,26–35
31,No,Travel_Rarely,281,Research & Development,13,4,Technical Degree,1,58,4,Male,31,1,2,Healthcare Representative,3,Married,6534,25804,3,Y,No,12,3,2,80,0,5,5,3,0,0,0,0,₹4K–₹7K,<2 years,26–35
18,No,Travel_Rarely,1231,Research & Development,12,1,Technical Degree,1,59,1,Male,83,1,3,Laboratory Technician,3,Single,6767,18193,1,Y,No,19,3,2,80,3,0,2,4,0,0,0,0,₹4K–₹7K,<2 years,18–25
37,No,Travel_Frequently,739,Human Resources,18,2,Medical,1,60,4,Male,91,3,4,Human Resources,3,Divorced,10911,22339,3,Y,No,16,3,1,80,1,9,5,2,4,1,1,0,₹7K–₹12K,4–5 years,36–45
44,No,Travel_Rarely,827,Sales,4,5,Marketing,1,61,4,Female,56,1,4,Sales Representative,3,Married,11867,23674,2,Y,No,14,3,1,80,2,19,3,1,13,7,3,4,₹7K–₹12K,10+ years,36–45
44,No,Non-Travel,1103,Sales,29,5,Marketing,1,62,2,Male,80,1,4,Manager,1,Single,8545,5939,0,Y,No,12,3,2,80,2,16,6,4,8,5,0,2,₹7K–₹12K,6–10 years,36–45
42,No,Travel_Rarely,1052,Research & Development,21,5,Life Sciences,1,63,1,Female,58,1,1,Laboratory Technician,3,Single,4752,7599,3,Y,Yes,23,3,4,80,0,17,0,2,17,12,4,6,₹4K–₹7K,10+ years,36–45
34,Yes,Travel_Frequently,433,Research & Development,5,1,Life Sciences,1,64,2,Female,31,1,2,Healthcare Representative,2,Married,5796,19385,3,Y,No,18,3,1,80,2,7,0,1,2,0,2,0,₹4K–₹7K,2–3 years,26–35
31,No,Travel_Rarely,270,Research & Development,8,4,Life Sciences,1,65,1,Male,59,4,4,Research Director,1,Married,8698,14556,5,Y,No,15,3,4,80,1,10,4,2,2,0,0,0,₹7K–₹12K,2–3 years,26–35
36,No,Travel_Rarely,699,Research & Development,16,3,Marketing,1,66,2,Male,59,1,4,Research Director,2,Single,8680,10610,2,Y,Yes,11,3,4,80,1,14,3,1,7,2,3,0,₹7K–₹12K,6–10 years,36–45
37,No,Travel_Frequently,783,Research & Development,10,4,Marketing,1,67,1,Female,49,3,3,Manager,1,Single,7759,9448,3,Y,No,16,3,1,80,2,8,5,4,1,0,0,0,₹7K–₹12K,<2 years,36–45
50,No,Travel_Rarely,1391,Research & Development,17,4,Life Sciences,1,68,4,Female,67,1,4,Research Scientist,2,Married,9482,9823,5,Y,No,20,3,3,80,2,12,1,1,6,3,2,2,₹7K–₹12K,6–10 years,46–60
22,Yes,Travel_Rarely,729,Sales,7,1,Life Sciences,1,69,1,Female,45,3,4,Sales Representative,4,Married,10294,13037,2,Y,No,25,3,4,80,0,7,5,2,7,1,0,1,₹7K–₹12K,6–10 years,18–25
46,No,Travel_Frequently,216,Research & Development,22,3,Medical,1,70,1,Male,78,2,4,Manager,1,Married,10957,16359,1,Y,Yes,22,3,1,80,2,17,5,2,6,3,6,2,₹7K–₹12K,6–10 years,46–60
34,No,Travel_Rarely,1212,Research & Development,2,3,Life Sciences,1,71,4,Male,56,1,4,Manufacturing Director,3,Divorced,8543,13465,3,Y,Yes,22,4,1,80,0,9,2,3,0,0,0,0,₹7K–₹12K,<2 years,26–35
20,Yes,Travel_Rarely,1467,Research & Development,4,5,Life Sciences,1,72,3,Female,66,2,3,Laboratory Technician,4,Married,7683,6585,4,Y,No,14,4,1,80,2,7,0,4,2,0,0,0,₹7K–₹12K,2–3 years,18–25
40,No,Travel_Rarely,905,Research & Development,22,2,Medical,1,73,4,Male,90,2,3,Research Director,2,Divorced,10733,26253,0,Y,Yes,16,3,4,80,1,12,2,2,8,4,4,1,₹7K–₹12K,6–10 years,36–45
33,Yes,Travel_Rarely,1128,Sales,18,4,Medical,1,74,3,Male,72,1,3,Manager,1,Married,7059,2923,6,Y,Yes,24,3,2,80,2,11,6,1,4,2,2,1,₹7K–₹12K,4–5 years,26–35
28,No,Travel_Frequently,1238,Sales,4,2,Marketing,1,75,3,Male,83,4,2,Sales Representative,3,Married,4144,25250,1,Y,No,20,3,2,80,3,2,4,3,0,0,0,0,₹4K–₹7K,<2 years,26–35
29,No,Travel_Rarely,634,Sales,10,1,Life Sciences,1,76,4,Male,54,2,3,Manager,4,Married,7549,18974,0,Y,No,22,3,4,80,3,1,5,2,1,1,1,1,₹7K–₹12K,<2 years,26–35
38,No,Travel_Rarely,683,Research & Development,28,5,Medical,1,77,4,Female,47,3,4,Manager,1,Married,11491,20258,5,Y,No,20,3,4,80,1,7,4,4,2,1,1,1,₹7K–₹12K,2–3 years,36–45
54,No,Travel_Rarely,1283,Human Resources,8,3,Life Sciences,1,78,4,Female,67,3,4,Human Resources,1,Divorced,10488,10388,1,Y,No,20,3,1,80,2,21,6,1,9,0,4,0,₹7K–₹12K,6–10 years,46–60
49,No,Non-Travel,227,Research & Development,16,2,Medical,1,79,4,Female,63,1,2,Healthcare Representative,3,Divorced,8020,26535,4,Y,No,17,3,1,80,1,22,3,3,11,8,5,5,₹7K–₹12K,10+ years,46–60
31,No,Travel_Frequently,306,Research & Development,5,1,Life Sciences,1,80,2,Male,59,4,1,Research Scientist,2,Married,3220,22062,2,Y,Yes,14,3,4,80,1,5,1,3,3,3,3,3,<₹4K,2–3 years,26–35
42,No,Travel_Rarely,249,Sales,20,4,Life Sciences,1,81,2,Male,94,3,3,Sales Executive,2,Married,8429,16708,3,Y,No,19,3,2,80,3,10,4,4,10,4,6,0,₹7K–₹12K,6–10 years,36–45
28,No,Travel_Rarely,699,Research & Development,6,4,Medical,1,82,4,Male,32,2,3,Research Scientist,3,Single,7718,22655,7,Y,No,15,3,4,80,3,6,0,2,6,2,3,1,₹7K–₹12K,6–10 years,26–35
41,No,Travel_Rarely,1054,Sales,24,2,Medical,1,83,2,Male,34,3,3,Sales Representative,1,Divorced,8541,24740,5,Y,No,13,3,3,80,3,12,6,3,5,3,4,1,₹7K–₹12K,4–5 years,36–45
48,No,Travel_Rarely,329,Research & Development,12,2,Technical Degree,1,84,1,Male,60,1,3,Manufacturing Director,3,Married,9899,21815,2,Y,Yes,21,4,4,80,0,18,1,4,5,3,3,3,₹7K–₹12K,4–5 years,46–60
43,No,Travel_Rarely,1415,Research & Development,15,4,Life Sciences,1,85,1,Female,52,2,4,Manager,3,Married,9029,12613,2,Y,Yes,18,3,3,80,3,14,5,3,12,7,4,4,₹7K–₹12K,10+ years,36–45
47,No,Travel_Rarely,1373,Research & Development,6,5,Life Sciences,1,86,4,Male,94,4,1,Laboratory Technician,1,Single,5219,8820,1,Y,No,19,3,1,80,3,12,2,4,7,3,3,1,₹4K–₹7K,6–10 years,46–60
18,No,Non-Travel,1118,Research & Development,9,3,Medical,1,87,2,Male,80,3,4,Manufacturing Director,1,Married,9245,5019,1,Y,No,13,3,2,80,3,0,4,1,0,0,0,0,₹7K–₹12K,<2 years,18–25
35,No,Travel_Rarely,1423,Sales,12,4,Life Sciences,1,88,1,Male,81,3,4,Manager,3,Married,11238,6652,0,Y,No,22,3,3,80,0,13,5,1,12,6,0,5,₹7K–₹12K,10+ years,26–35
27,No,Travel_Rarely,1283,Human Resources,24,1,Life Sciences,1,89,3,Male,31,2,5,Manager,2,Divorced,10476,13013,2,Y,No,25,4,3,80,0,6,2,4,1,1,1,1,₹7K–₹12K,<2 years,26–35
45,No,Non-Travel,493,Sales,2,3,Life Sciences,1,90,2,Female,77,2,2,Sales Representative,4,Married,5356,24780,1,Y,No,20,4,3,80,3,13,4,1,7,5,5,2,₹4K–₹7K,6–10 years,36–45
39,No,Non-Travel,397,Human Resources,8,1,Technical Degree,1,91,4,Female,99,4,2,Human Resources,3,Single,5680,18983,0,Y,No,15,3,1,80,0,4,1,2,1,0,0,0,₹4K–₹7K,<2 years,36–45
33,No,Travel_Rarely,390,Sales,22,2,Life Sciences,1,92,4,Male,32,2,3,Manager,4,Divorced,9175,22239,5,Y,No,20,3,1,80,3,13,0,3,6,1,1,1,₹7K–₹12K,6–10 years,26–35
37,No,Travel_Rarely,693,Research & Development,3,2,Life Sciences,1,93,3,Male,61,1,5,Research Director,3,Single,12574,18962,1,Y,No,16,3,2,80,2,2,1,1,2,2,0,2,₹12K+,2–3 years,36–45
46,Yes,Travel_Rarely,420,Research & Development,18,5,Marketing,1,94,2,Male,64,3,1,Healthcare Representative,2,Married,5111,25780,4,Y,No,25,3,3,80,3,15,4,2,11,5,2,2,₹4K–₹7K,10+ years,46–60
36,No,Travel_Frequently,1334,Research & Development,29,1,Technical Degree,1,95,4,Male,63,1,5,Manufacturing Director,4,Married,13142,17756,1,Y,No,12,3,4,80,0,20,1,2,19,9,6,7,₹12K+,10+ years,36–45
47,No,Travel_Frequently,1405,Research & Development,6,3,Life Sciences,1,96,3,Male,71,2,4,Manager,4,Married,9985,18468,1,Y,Yes,23,3,3,80,3,15,1,4,13,5,8,0,₹7K–₹12K,10+ years,46–60
24,No,Travel_Rarely,262,Research & Development,4,4,Life Sciences,1,97,1,Female,59,1,5,Manufacturing Director,4,Married,11606,11675,4,Y,Yes,25,3,1,80,3,0,1,2,0,0,0,0,₹7K–₹12K,<2 years,18–25
44,No,Travel_Frequently,1216,Research & Development,11,2,Life Sciences,1,98,1,Female,86,1,5,Research Director,2,Single,11997,2420,0,Y,No,18,3,4,80,1,14,5,3,6,6,5,4,₹7K–₹12K,6–10 years,36–45
34,No,Travel_Frequently,1273,Research & Development,13,4,Medical,1,99,4,Male,31,1,5,Research Director,3,Divorced,11579,23247,1,Y,No,21,3,2,80,1,13,1,3,13,4,2,4,₹7K–₹12K,10+ years,26–35
45,No,Travel_Rarely,642,Sales,10,5,Medical,1,100,1,Female,59,1,3,Manager,1,Divorced,8274,24073,2,Y,No,25,3,2,80,2,18,5,3,9,1,2,0,₹7K–₹12K,6–10 years,36–45
33,Yes,Non-Travel,1418,Research & Development,21,1,Life Sciences,1,101,1,Male,73,1,1,Healthcare Representative,4,Single,3070,18671,0,Y,Yes,12,3,4,80,3,6,4,1,2,2,0,2,<₹4K,2–3 years,26–35
38,Yes,Travel_Rarely,254,Research & Development,25,2,Life Sciences,1,102,4,Male,88,3,1,Manufacturing Director,3,Single,5165,25544,0,Y,No,25,3,3,80,2,13,6,4,13,3,4,3,₹4K–₹7K,10+ years,36–45
38,No,Travel_Rarely,1412,Sales,7,5,Life Sciences,1,103,1,Male,32,4,3,Manager,2,Divorced,7770,22276,3,Y,No,14,4,1,80,3,3,5,1,0,0,0,0,₹7K–₹12K,<2 years,36–45
30,No,Travel_Rarely,526,Research & Development,16,1,Life Sciences,1,104,3,Male,46,4,5,Research Scientist,2,Married,11706,25338,2,Y,No,20,3,1,80,3,0,2,3,0,0,0,0,₹7K–₹12K,<2 years,26–35
47,Yes,Travel_Frequently,979,Research & Development,10,4,Life Sciences,1,105,4,Male,55,3,3,Manager,3,Married,9328,3246,4,Y,No,25,3,3,80,2,18,4,4,10,5,4,3,₹7K–₹12K,6–10 years,46–60
35,No,Travel_Rarely,641,Research & Development,2,1,Life Sciences,1,106,1,Male,85,1,3,Manager,2,Divorced,8184,20808,1,Y,No,20,4,2,80,2,12,3,2,6,4,2,3,₹7K–₹12K,6–10 years,26–35
31,No,Travel_Rarely,1202,Sales,8,4,Life Sciences,1,107,2,Male,94,1,2,Sales Representative,2,Divorced,6271,7051,4,Y,No,22,4,3,80,2,4,3,2,0,0,0,0,₹4K–₹7K,<2 years,26–35
25,No,Non-Travel,1329,Sales,27,4,Medical,1,108,3,Female,73,2,5,Manager,2,Married,10679,26914,1,Y,No,15,3,1,80,2,1,0,2,0,0,0,0,₹7K–₹12K,<2 years,18–25
34,Yes,Travel_Rarely,1125,Sales,2,2,Medical,1,109,2,Male,66,3,5,Manager,3,Single,12010,2893,3,Y,No,13,4,4,80,2,9,3,4,9,1,3,1,₹12K+,6–10 years,26–35
41,No,Non-Travel,217,Research & Development,8,1,Life Sciences,1,110,4,Male,81,1,3,Research Director,2,Married,9643,24552,4,Y,No,11,3,4,80,2,10,4,3,9,4,2,2,₹7K–₹12K,6–10 years,36–45
36,Yes,Travel_Rarely,295,Sales,12,2,Medical,1,111,2,Male,93,4,1,Sales Executive,2,Married,5365,4686,4,Y,No,23,3,4,80,1,10,1,2,10,8,3,5,₹4K–₹7K,6–10 years,36–45
25,No,Non-Travel,930,Research & Development,20,1,Medical,1,112,4,Male,69,3,3,Manager,3,Married,6523,22961,0,Y,No,12,3,1,80,3,6,1,1,1,1,0,1,₹4K–₹7K,<2 years,18–25
27,No,Travel_Rarely,1407,Research & Development,14,5,Life Sciences,1,113,1,Male,33,3,2,Research Scientist,3,Married,6572,18230,3,Y,No,23,3,3,80,0,8,2,1,6,4,3,4,₹4K–₹7K,6–10 years,26–35
27,Yes,Travel_Rarely,109,Human Resources,29,5,Technical Degree,1,114,1,Female,38,2,1,Human Resources,1,Single,4193,9489,1,Y,No,22,4,1,80,0,7,0,4,7,7,0,6,₹4K–₹7K,6–10 years,26–35
38,No,Travel_Frequently,1114,Research & Development,10,1,Medical,1,115,4,Female,40,4,1,Laboratory Technician,2,Married,4546,23766,2,Y,No,23,3,4,80,3,8,2,3,6,4,0,2,₹4K–₹7K,6–10 years,36–45
28,No,Non-Travel,592,Human Resources,9,2,Marketing,1,116,1,Male,82,1,3,Manager,2,Married,7409,20223,6,Y,No,15,3,3,80,0,10,0,1,10,1,0,1,₹7K–₹12K,6–10 years,26–35
23,No,Non-Travel,601,Research & Development,4,3,Marketing,1,117,2,Male,95,2,3,Laboratory Technician,2,Single,6730,9408,1,Y,Yes,13,3,4,80,1,7,2,3,0,0,0,0,₹4K–₹7K,<2 years,18–25
